id,budget_id,category_id,type,amount,comment
"9","8","5","INCOME","100000.00",""
"10","8","6","EXPENSES","6000.00",""
"11","8","7","EXPENSES","3000.00",""
"43","42","13","INCOME","44000.00","анадеа"
"44","42","14","INCOME","24000.00","прозорро "
"45","42","16","EXPENSES","432.00",""
"46","42","17","EXPENSES","1500.00",""
"47","42","18","EXPENSES","1700.00",""
"48","42","19","EXPENSES","1000.00",""
"49","42","22","EXPENSES","5000.00",""
"50","42","25","EXPENSES","5500.00",""
"51","42","24","EXPENSES","1.00",""
"52","42","26","EXPENSES","3000.00",""
"53","42","28","EXPENSES","15600.00",""
"54","42","29","EXPENSES","3000.00",""
"55","42","31","EXPENSES","600.00",""
"56","42","33","EXPENSES","7000.00",""
"57","42","35","EXPENSES","4000.00",""
"58","42","36","EXPENSES","600.00","мойка"
"59","42","37","EXPENSES","10000.00","ремонт ходовой"
"60","42","38","EXPENSES","1400.00","стрижка, массаж"
"61","42","39","EXPENSES","1500.00",""
"63","42","62","EXPENSES","2500.00",""
"64","42","40","EXPENSES","6000.00",""
"65","42","41","EXPENSES","1.00",""
"77","76","68","INCOME","5000.00",""
"78","76","70","EXPENSES","3000.00",""
"79","76","73","EXPENSES","300.00",""
"80","76","69","EXPENSES","1500.00",""
"86","84","82","INCOME","500.00",""
"87","85","39","EXPENSES","100.00",""
"88","88","13","INCOME","44000.00","анадеа"
"89","88","16","EXPENSES","432.00",""
"90","88","17","EXPENSES","1500.00",""
"91","88","18","EXPENSES","1700.00",""
"92","88","19","EXPENSES","1000.00",""
"95","88","24","EXPENSES","500.00",""
"96","88","26","EXPENSES","3000.00",""
"98","88","29","EXPENSES","4000.00",""
"99","88","31","EXPENSES","1000.00",""
"101","88","38","EXPENSES","1400.00","стрижка, массаж"
"102","88","39","EXPENSES","1500.00",""
"103","88","62","EXPENSES","2500.00",""
"104","88","40","EXPENSES","6000.00",""
"105","88","41","EXPENSES","8000.00","одесса"
"202","88","90","EXPENSES","1600.00",""
"203","88","35","EXPENSES","3500.00",""
"206","88","204","EXPENSES","700.00",""
"207","88","205","EXPENSES","400.00",""
"209","88","208","EXPENSES","500.00","цитрулин"
"210","88","36","EXPENSES","600.00",""
"212","88","211","EXPENSES","3000.00",""
"213","88","25","EXPENSES","3000.00",""
"216","88","215","EXPENSES","750.00",""
"272","88","271","EXPENSES","1.00",""
"321","320","13","INCOME","44000.00","анадеа"
"322","320","16","EXPENSES","432.00",""
"323","320","17","EXPENSES","1500.00",""
"324","320","18","EXPENSES","2500.00",""
"325","320","19","EXPENSES","1000.00",""
"326","320","24","EXPENSES","500.00",""
"327","320","25","EXPENSES","3000.00",""
"328","320","26","EXPENSES","3000.00",""
"329","320","29","EXPENSES","6000.00",""
