id,description,name,parent_id,type,user_id,disabled
"5","","ЗП",,"INCOME","1","f"
"6","","Продукты",,"EXPENSES","1","f"
"7","","Коммунальные",,"EXPENSES","1","f"
"13","","зп",,"INCOME","12","f"
"14","","Айтиквартал",,"INCOME","12","f"
"15","","Айтиквартал затраты",,"EXPENSES","12","f"
"16","Гигаклауд","аренда сервера","15","EXPENSES","12","f"
"17","","ЕСВ","2315","EXPENSES","12","f"
"18","","Единый налог","2315","EXPENSES","12","f"
"19","","Непредвиденные расходы",,"EXPENSES","12","f"
"20","","Обучение",,"EXPENSES","12","f"
"21","","Одежда , аксессуары",,"EXPENSES","12","f"
"22","","кроссовки","21","EXPENSES","12","f"
"23","удалить когда появится фича Переводы между счетами","Переводы",,"EXPENSES","12","f"
"24","","Emergency fond","23","EXPENSES","12","f"
"25","","Альфабанк кред карта","23","EXPENSES","12","f"
"26","","кредит макбук","23","EXPENSES","12","f"
"27","","сбережения","23","EXPENSES","12","f"
"28","","монобанк карта","23","EXPENSES","12","f"
"29","рестораны, кафе, клубы, концерты, мероприятия","Развлечения",,"EXPENSES","12","f"
"30","","Транспорт",,"EXPENSES","12","f"
"31","","такси","30","EXPENSES","12","f"
"32","","Спорт и здоровье",,"EXPENSES","12","f"
"33","","абонемент","32","EXPENSES","12","f"
"34","","Авто",,"EXPENSES","12","f"
"35","","бензин","34","EXPENSES","12","f"
"36","","обслуживание авто","34","EXPENSES","12","f"
"37","","ремонт","34","EXPENSES","12","f"
"38","","Услуги",,"EXPENSES","12","f"
"39","бизнес ланчи, кофе","Еда вне дома",,"EXPENSES","12","f"
"40","","Продукты",,"EXPENSES","12","f"
"41","","Путешествия",,"EXPENSES","12","f"
"62","электр, газ, вода, затышок, интернет","Коммунальные услуги","89","EXPENSES","12","f"
"67","","зп",,"INCOME","66","f"
"68","","пенсия",,"INCOME","66","f"
"69","","коммунальные",,"EXPENSES","66","f"
"70","","продукты",,"EXPENSES","66","f"
"71","","развлечения",,"EXPENSES","66","f"
"72","","дача расходы",,"EXPENSES","66","f"
"73","","транспорт","72","EXPENSES","66","f"
"74","","взносы","72","EXPENSES","66","f"
"75","","рассада","72","EXPENSES","66","f"
"82","","Продукты",,"INCOME","81","f"
"83","","Одежда",,"EXPENSES","81","f"
"89","","Дом",,"EXPENSES","12","f"
"90","","Уборка квартиры","89","EXPENSES","12","f"
"204","700","Домашние животные",,"EXPENSES","12","f"
"205","","Медикаменты","32","EXPENSES","12","f"
"208","","Спортивное питание","32","EXPENSES","12","f"
"211","","ОСАГО","34","EXPENSES","12","f"
"214","","Техника",,"EXPENSES","12","f"
"215","","Маршрутизатор WiFi","214","EXPENSES","12","f"
"271","","Стоматолог","32","EXPENSES","12","f"
"346","","День рождения ",,"EXPENSES","12","f"
"355","","Приват кред. карта","23","EXPENSES","12","f"
"358","","аренда сервера Хероку","15","EXPENSES","12","f"
"360","","Хостинг Украина","15","EXPENSES","12","f"
"434","","Подарки",,"EXPENSES","12","f"
"445","","Одежда аксессуары прочее","21","EXPENSES","12","f"
"458","","Хоз.расходы","89","EXPENSES","12","f"
"479","","зп сотрудников","15","EXPENSES","12","f"
"483","","Поездка Харьков","41","EXPENSES","12","f"
"484","","Поездка  Одесса","41","EXPENSES","12","f"
"530","","Аренда квартиры",,"EXPENSES","12","f"
"537","","Чемодан ","41","EXPENSES","12","f"
"633","","Услуги перевода ДС",,"INCOME","12","f"
"635","","Кровать","89","EXPENSES","12","f"
"637","","Аренда своей квартиры",,"INCOME","12","f"
"639","","Аренда паркинга","34","EXPENSES","12","f"
"687","","Поездка Днепр","41","EXPENSES","12","f"
"1017","","Новый Год",,"EXPENSES","12","f"
"1162","","Буковель","41","EXPENSES","12","f"
"1291","","Salary",,"INCOME","1095","f"
"1292","","Rent appartments",,"INCOME","1095","f"
"1293","","Food",,"EXPENSES","1095","f"
"1294","","ATB","1293","EXPENSES","1095","f"
"1295","","restaurants ","1293","EXPENSES","1095","f"
"1296","","Auto",,"EXPENSES","1095","f"
"1297","","gas","1296","EXPENSES","1095","f"
"1298","","service","1296","EXPENSES","1095","f"
"1299","","utilities",,"EXPENSES","1095","f"
"1724","","Подписки",,"EXPENSES","12","f"
"1725","","гугл диск","1724","EXPENSES","12","f"
"1726","","youtube premium","1724","EXPENSES","12","f"
"1729","","Кофе, напитки",,"EXPENSES","12","f"
"1742","","Персональные тренировки","32","EXPENSES","12","f"
"1751","","Интернет","89","EXPENSES","12","f"
"1814",""," Техника ",,"EXPENSES","12","f"
"1924","","Психолог","32","EXPENSES","12","f"
"2223","","Шины","34","EXPENSES","12","f"
"2315","","Налоги",,"EXPENSES","12","f"
"2316","","Chat GPT Plus","15","EXPENSES","12","f"
"2317","за квартиру","Налог на недвижимость","2315","EXPENSES","12","f"
"2347","","Кальян",,"EXPENSES","12","f"
"2373","","Отпуск",,"EXPENSES","12","f"
"2515","https://medium.com/","Medium","1724","EXPENSES","12","f"
